"SupplierID","supplier_name","supplier_address","supplier_phone","supplier_city","supplier_state","supplier_zip"
1,"Stroman, Kuhic and Beatty","0 Village Green Drive",952,"601-183-6792",MS,"39305"
2,Schaefer Inc,"54205 Corry Parkway",504,"512-604-1935",TX,"78682"
3,McCullough-Cormier,"4 Prairieview Circle",202,"406-453-3171",MT,"59105"
4,Lindgren Group,"0 Miller Trail",312,"775-290-0772",NV,"89505"
5,"Mertz, Bailey and Bogan","56518 Algoma Alley",203,"419-509-1041",OH,"44905"
6,Rogahn-Pagac,"4688 Ohio Drive",770,"916-105-4634",CA,"94230"
7,Herman-Zieme,"819 Fallview Crossing",501,"901-617-9113",TN,"38197"
8,"Gibson, Bernhard and Cole","3747 Bowman Road",952,"913-797-9064",KS,"66112"
9,Oberbrunner-Blick,"8 Fairfield Parkway",512,"541-871-0802",OR,"97405"
10,Larson-Hessel,"405 Haas Street",314,"405-150-9598",OK,"73197"
11,Reichel-Durgan,"8 Lotheville Pass",915,"817-824-1054",TX,"76121"
12,Dietrich-Reilly,"676 Sutherland Avenue",775,"305-348-0474",FL,"33028"
13,"Brekke, Hagenes and Johnson","53 Huxley Place",720,"314-728-9714",MO,"63116"
14,Kling-Jenkins,"0 Russell Parkway",423,"225-237-1538",LA,"70820"
15,"Thompson, Kub and Gleichner","0 American Ash Drive",303,"402-920-8161",NE,"68110"
16,"Weber, Jacobson and Gutmann","3 Merry Avenue",612,"626-618-3973",CA,"90015"
17,Kreiger-Hand,"8304 Shoshone Court",315,"267-687-9661",PA,"19058"
18,"Moore, Feest and Klocko","24 Tennyson Crossing",303,"901-325-6973",TN,"38114"
19,Mann Inc,"687 Moose Center",585,"816-248-2645",MO,"64101"
20,"Koch, Terry and Roberts","946 Birchwood Junction",361,"213-628-7041",CA,"90101"
21,Kerluke-Simonis,"7323 Bobwhite Junction",919,"248-763-4026",MI,"48335"
22,Schoen and Sons,"2 Farragut Pass",217,"336-766-0616",NC,"27105"
23,Bosco-DuBuque,"85306 Jenifer Center",714,"720-229-1115",CO,"80299"
24,"Leuschke, Reilly and Stracke","63043 Vidon Plaza",617,"405-738-6601",OK,"73124"
25,Klein-Weimann,"9972 Moulton Way",312,"813-842-5347",FL,"33680"
26,"Rempel, Borer and Armstrong","10 Glacier Hill Place",617,"601-453-6536",MS,"39204"
27,"Borer, Walter and Miller","35329 Spohn Lane",706,"352-974-0819",FL,"32610"
28,Roob-Reichel,"4767 Hermina Lane",508,"859-101-1736",KY,"40591"
29,DuBuque-Schmidt,"34288 Lakewood Gardens Pass",804,"785-603-3436",KS,"66667"
30,"Pagac, Schroeder and Pacocha","2 Summerview Hill",303,"208-206-8362",ID,"83722"
31,Gulgowski-Collier,"1 Fieldstone Point",765,"808-822-8172",HI,"96820"
32,Goldner LLC,"9 Ruskin Street",208,"915-994-1255",TX,"88569"
33,Schinner and Sons,"227 Kingsford Point",314,"415-726-9724",CA,"94137"
34,Vandervort Inc,"9 Summer Ridge Trail",917,"206-464-6388",WA,"98042"
35,Conn LLC,"73211 Nancy Avenue",602,"806-997-9240",TX,"79452"
36,Jerde-Bartell,"4 Golf View Terrace",323,"214-408-8851",TX,"75387"
37,Auer Group,"82 Ohio Alley",713,"414-191-2366",WI,"53215"
38,Kuhlman-Fadel,"4599 Upham Street",832,"814-779-9749",PA,"15906"
39,"Ruecker, Gorczany and McLaughlin","52363 Oneill Drive",920,"251-291-3964",AL,"36670"
40,Barton-Balistreri,"035 Arkansas Street",205,"405-441-2603",OK,"73119"
41,Shields-Lindgren,"9 Northwestern Junction",713,"305-667-7779",FL,"33158"
42,"Smith, Wolff and Kilback","934 Village Green Crossing",214,"434-341-6576",VA,"22908"
43,Lubowitz and Sons,"495 Loomis Pass",512,"303-741-3383",CO,"80270"
44,"Littel, Gerhold and Mohr","98475 International Place",256,"318-979-7303",LA,"71130"
45,Ortiz-Weber,"31688 Nevada Way",850,"321-141-8410",FL,"32803"
46,Ziemann-Roob,"3759 Hudson Park",850,"661-187-8839",CA,"93399"
47,"Ortiz, Terry and Hyatt","6788 High Crossing Street",215,"559-139-0943",CA,"93709"
48,"Hintz, Rosenbaum and Renner","262 Warbler Junction",904,"412-793-2201",PA,"15286"
